X Y Z L1
 715363.222 3922694.544    1562.100       1.000
 714480.380 3969130.981    1690.116       1.000
 701715.151 3989296.011    1668.780       1.000
 708128.370 3962297.619    1566.367       1.000
 714363.740 3968964.694    1661.160       1.000
 709332.570 3970218.938    1701.089       1.000
 707514.368 3997512.883    1653.540       1.000
 688896.584 4003666.107    1729.740       1.000
 702960.837 3981915.086    1722.120       1.000
 705443.240 3993863.848    1729.740       1.000
 705948.601 3996582.405    1592.580       1.000
 710809.781 3917737.871    1600.200       1.000
 704447.071 3946223.231    1716.024       1.000
 693709.526 3996918.178    1722.120       1.000
 704536.348 3988261.235    1760.220       1.000
 706970.080 3980507.847    1668.780       1.000
 709741.780 3971683.183    1478.280       1.000
 704601.512 3941696.306    1760.220       1.000
 701312.234 3994826.522    1689.506       1.000
 712706.330 3920091.048    1546.860       1.000
 691330.818 3999217.862    1722.120       1.000
 711642.381 3965751.573    1996.440       1.000
 701749.491 3952384.425    1920.240       1.000
 705732.343 3962126.857    1684.020       1.000
 699147.319 3986957.213    1869.338       1.000
 709091.178 3972084.835    1613.306       1.000
 705987.477 3968324.160    1676.400       1.000
 710669.385 3971145.058    1630.680       1.000
 706046.885 3984286.984    1674.266       1.000
 710252.580 3967658.209    1714.500       1.000
 693242.329 3990710.419    2049.780       1.000
 697366.506 4000723.070    1714.500       1.000
 710143.085 3971620.745    1579.778       1.000
 697494.487 4001565.193    1636.166       1.000
 709690.119 3971681.532    1605.686       1.000
 705976.701 3972331.693    1733.398       1.000
 733209.399 4017215.779    1699.260       1.000
 704771.291 3987096.748    1706.880       1.000
 724559.626 4022557.059    1859.280       1.000
 696228.963 4001667.094    1685.849       1.000
 709469.265 3964595.915    1828.800       1.000
 704035.013 3993512.928    1615.440       1.000
 713023.952 3969933.749    1665.732       1.000
 768915.989 3991240.374    2110.740       1.000
 704934.343 3985269.599    1737.360       1.000
 698748.538 4001124.045    1719.986       1.000
 718783.792 3913880.908    1459.078       1.000
 695080.261 3997149.752    1722.120       1.000
 706204.350 3987635.460    1752.600       1.000
 698813.537 3997448.884    1729.740       1.000
 716331.409 4000380.447    1661.160       1.000
 692834.907 3992442.494    1960.169       1.000
 699823.225 3980468.813    1988.820       1.000
